grain,stage,reached,previous_reached,entrants,step_conversion,dropoff,dropoff_rate,total_conversion
unordered_users,4,4419,9715.0,61252,,,,
ordered_sessions,2,14380,77020.0,77020,0.18670475201246428,62640.0,0.8132952479875357,0.18670475201246428
unordered_users,3,9715,12545.0,61252,,,,
unordered_users,2,12545,61252.0,61252,,,,
ordered_sessions,4,2778,5187.0,77020,0.5355696934644303,2409.0,0.4644303065355697,0.03606855362243573
ordered_sessions,3,5187,14380.0,77020,0.36070931849791377,9193.0,0.6392906815020862,0.067346143858738
unordered_users,1,61252,,61252,,,,
ordered_sessions,1,77020,,77020,,,,1.0
